ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
9863,"n. (111), ceremony of symbolic ear-piercing at initiation",ceremony of symbolic ear-piercing at initiation,"riuna, (moina), n. (111), ceremony of symbolic ear-piercing at initiation; cf. ndonyo. [una]"
9864,,REFERENCE,"kiune, see koine,"
9866,"place to disperse, fiy to, for refuge from attack, &c.","place to disperse, fiy to, for refuge from attack, &c","uunikirĩro, mauunikiriro, n. (11), place to disperse, fiy to, for refuge from attack, &c. [funa]"
9867,"1. migration, dispersal of community by removal from one district to another esp. in time of famine. 2. flight, evacuation, in wartime. 3. ~ wa maĩ, inundation, flood","migration, dispersal of community by removal from one district to another esp. in time of famine","muuniko, mi-, n. (II1), 1. migration, dispersal of community by removal from one district to another esp. in time of famine. 2. flight, evacuation, in wartime. 3. ~ wa maĩ, inundation, flood; cf. thama. [una]"
9868,broken.,broken,"-uniku, a. (1v), broken. [una]"
9869,act of breaking,time of breaking,"uuniro, moinĩro, n. (111), act of breaking; a folding, bending. kiuniro, ci-, n. place of breaking, joint; cf. nyunĩro. riuniro, n, cl. 5, time of breaking. [una]"
9870,"I. hem, turn-up. 2. corner post of hut","hem, turn-up","ruuno, nyuno; muuno, mi-; n. (III), I. hem, turn-up. 2. corner post of hut; cf. koine. [una]"
9871,"n. (vuri), haphazard manner",haphazard manner,"kiundutho f[kiunduutho], (ci-), n. (vuri), haphazard manner; (used adv.) haphazardly."
9872,,"(of rats, moles, pigs, &c","unga, v.t. (1) I. (of rats, moles, pigs, &c.) burrow into. 2. provoke, goad. ungoinga, dim. burrow rapidly into; provoke, goad, exasperate. unganga, diff. ungana, rec. provoke one another., ungania, caus. rec. unganira, app. rec. unganiria, caus. app. rec. ungithia, d. caus. ungika, st. pot. ungikira, app. st. pot. ungra, app."
9873,1. light-brown silky or hairy substance,cow with long white or light-brown hair hanging down on the tail or on the breast or belly,"muunge, mMi-, n. (I1), 1. light-brown silky or hairy substance; maize silk. 2. tuft, crest, plume on a helmet, &c., single stripped feather attached to a young man’s hair, tassel of a fez cap; long tuft of white hair on the tail of a colobus monkey. 3. tail of a comet or shooting star; long strip of bark carried at dances. 4. (with cl. o/10 concords}) cow with long white or light-brown hair hanging down on the tail or on the breast or belly; ruta ~, get angry, show bad temper. kĩmuunge, i-, n, (usu. with cl. oj10 concords) ram, ox, bull with white hair as above. kamuunge, n, nickname given to a bad-tempered person.,"
9874,"provocativeness, aggressiveness.","provocativeness, aggressiveness","nuungo, mi-, n. (1), provocativeness, aggressiveness. [unga]"
9875,"I. excavation made by goats when eating out salty earth, hole, sand or clay pit. 2. dugout used for secreting livestock, women, and children in time of war","excavation made by goats when eating out salty earth, hole, sand or clay pit","muungu’, mi-, n. (1), I. excavation made by goats when eating out salty earth, hole, sand or clay pit. 2. dugout used for secreting livestock, women, and children in time of war; cf. ngurunga. 3. grave, sepulchre. ruungu / rungu, ma-, n. I. space under anything raised from ground. 2 (used as prep.) underneath; ~ roa ũrĩrĩ, under the bed."
9877,"(N.K.) crawl under, through, a narrow, low, opening","() crawl under, through, a narrow, low, opening","unguma, v.t. (1), (N.K.) crawl under, through, a narrow, low, opening; pass under with or without bending; cf. gukuma. ungumanga, diff. ungumania, caus. rec, take by guile, deceive; be dishonest, secretive. ungumanira, app. rec, ungumaniria, caus. assoc. ungumia, caus. ungumithia, d. caus. ungumika, st. pot. ungumira, app. unguneut. come out, on the opposite side, at the opposite end, after going through or under sth."
9878,"machinations, treachery, underhand tactics, robbery by guile.","machinations, treachery, underhand tactics, robbery by guile","uungumania, mauungumania, n. cl. 14/6 (1x), machinations, treachery, underhand tactics, robbery by guile. [unguma]"
9879,caus.,dishonest,"ungumaya, v.i. (1)ũ become hypocritical, dishonest. ungumayanga, diff. ungumayana, rec. become dishonest in entirety, completely. ungumayania, caus. rec. ungumayanira, assoc. ungumayaniria, caus. assoc. ungumaiya (ungumayia), caus. ungumaithia, d. caus. ungumaika, st, pot. ungumaira, app. ungumairia, caus. app. ungumaũra, conv. ungumaũka, neut."
9880,act of being dishonest.,act of being dishonest,"uungumaya, mauungumaya, n. (1), act of being dishonest. [ungumaya]"
9881,,"secrecy, deceit, dishonesty, [unguma]","uungumĩ, mauungumi, n. (v), secrecy, deceit, dishonesty, [unguma]"
9882,"r. burrowing shoot, underground runner, offshoot of a certain sp. of grass reeds, papyrus, sugar-cane","burrowing shoot, underground runner, offshoot of a certain of grass reeds, papyrus, sugar-cane","muungunũ, mi-, n. (1), r. burrowing shoot, underground runner, offshoot of a certain sp. of grass reeds, papyrus, sugar-cane; cf. muonjoro, unguma, motamba. 2. a grass (revered as a source of nutrition for domestic livestock and used in various rituals for garlanding: (a) when a warrior returned from killing an enemy, (b) when cattle were moved from one cattle-post to a new one, (c) when gourds of beer, brought to the home of a prospective bridegroom, were returned to the home of the prospective bride; held up as a sign of truce or surrender in war); nyeki ya ~, Kikuyu grass; cf. witima, kĩgombe."
9883,"n. (X1), secrecy, trickery, treachery","secrecy, trickery, treachery","uungungu, (mauungungu), n. (X1), secrecy, trickery, treachery; cf. uvungumania, ngungui, hitho."
9884,"(of insects, larvae, &c.) burrow between clothes and body, nibble at skin-covered clothes.","(of insects, larvae, &c","ungunya, v.t. (1), (of insects, larvae, &c.) burrow between clothes and body, nibble at skin-covered clothes. ungoingunya, dim. ungunyanga, diff. ungunyana, rec. ungunyania, caus. rec. ungunyanira, app. rec. ungunyaniria, caus. app. rec. ungunyithia, d. caus. ungunyika, st. pot. ungunyikanga, diff. st. pot. ungunyĩkia, caus. st. pot. ungunyikira, app. st. pot. ungunyĩra, app. ungunyiria, caus, app."
9886,,REFERENCE,"ungururia, see Ũngũrũria."
9887,,mud in a river when stirred up or during heavy rain,"muunju, mi-, n. (1) mud in a river when stirred up or during heavy rain; muddiness in any body of water; gia ~, be muddy. Itari hinya inyuaga ~, cattle which are weak have to drink muddy water. [see unjuga]"
9889,1. straggling bush (Ruttya fruticosa). 2. (also ~ -iria) Butterfly bush (Clerodendron myricoides) (used to curdle milk,straggling bush (Ruttya fruticosa),"muunjuga, mi-, n. (1), 1. straggling bush (Ruttya fruticosa). 2. (also ~ -iria) Butterfly bush (Clerodendron myricoides) (used to curdle milk; twigs used as swizzle-sticks)."
9890,"n. (v), provocativeness",provocativeness,"ruunjugĩ, (nyunjugi), n. (v), provocativeness; cf. ruurugi, rũgiti. [unjuga]"
9895,1. wet patch under tree where nothing grows well. 2. (N.K.) abandoned hut,wet patch under tree where nothing grows well,"kiura, ci-; riura, moira; n. (VII), 1. wet patch under tree where nothing grows well. 2. (N.K.) abandoned hut; cf. [ura]"
9896,leaking place.,leaking place,"riurĩro, moirĩro, n. (1m), leaking place. [ura] 1"
9897,(N.K.) 1. irritating itch caused by jigger or prick. 2. pain in goats feet causing limping,irritating itch caused by jigger or prick,"ruuru, n. cl. 11 (11?), (N.K.) 1. irritating itch caused by jigger or prick. 2. pain in goats feet causing limping; cf. grntũ, rũgurumo. l"
9898,"I. stir, stir up (food, soil, &c.)","stir, stir up (food, soil, &c","uruga, v.t, (1), I. stir, stir up (food, soil, &c.); cf. thiora. 2. exasperate, provoke, stir up; cf. ũgita, thoria, buruga. rfuruga, refl. uroiruga, dim. uruganga, dif. urugana, 804403 NN rec. provoke sb., each other. urugania, caus. rec. stir up anyhow, mix and stir vigorously. uruganira, app. rec. uruganiria, caus. app. rec. urugithia, d. caus. urugika, st. pot., urugĩra, app. stir up, for, at; provoke sb. for a certain reason. urugirira, inten. urugiriria, caus. inten. stir up violently; cf. umbuthirĩria."
9899,"n. (v), provocation, stirring-up of strife","provocation, stirring-up of strife","ruurugi, (njurugi), n. (v), provocation, stirring-up of strife; mnd wa ~, trouble-maker; cf. ruurugunyi, rũnyũi, ruunjugi. [uruga]"
9902,,"search, comb out (when looking for )","urugucania, v.t. (1) I1. search, comb out (when looking for sth.). 2. stir thoroughly, mix together. urourugucania, dim. urugucanangia, diff. urugucaniria, app. conv. stir up (dead leaves in a river, &c.). urugucũka, neut. 1. be stirred up. 2. (of stock) wander in the bush. caus. neut. stir up inartistically. urugucũkithia, d. caus. neut. have stirred up inartistically, assist in stirring up. kĩka, st. pot. neut, be stirrable. uruđgucũkira, app. neut. urugucAkĩria, caus. app. neut. stir up, for, at."
9904,restiveness.,restiveness,"mauurugunyiko, mi-, n. (1), restiveness. ~ Ũgĩraga mũkindirio, restlessness will come to a standstill. [urugunyĩka]"
9905,"(of police, &c.) search (a house from top to bottom), investigate (people)","inspect thoroughly, get to the bottom of, search out","ururia [uruuria], v.t. (1) inspect thoroughly, get to the bottom of, search out; feel all over for (hidden missiles, &c.), (of police, &c.) search (a house from top to bottom), investigate (people); cf. thuthuria."
9906,,refi,"2 ĩururia, refi. search one’s pockets; examine one’s own mind, heart; use self-analysis to get rid of guilt; cf. ĩtuĩria. uroururia, dim. ururangia, diff. kururania, rec. inspect, investigate, each other. ururaniria, caus. app. rec. ururithia, d. caus. ururithiria, app. d. caus. ururika, st. pot. ururiria, app. search out, for, at."
9907,,REFERENCE,"urũ, see irũ."
9911,"common shrub (Lantana sp.) (forms dense brakes, yields withies for many purposes). ruuti, njutĩ, n. thicket of above. giuti, ci-, n. 1. plant of above",plant of above,"muuti, mi-, n. (111), common shrub (Lantana sp.) (forms dense brakes, yields withies for many purposes). ruuti, njutĩ, n. thicket of above. giuti, ci-, n. 1. plant of above; cf. 2. dense thicket of this shrub."
9913,(N.K.) one of the pair of bellows used by Kikuyu smiths,() one of the pair of bellows used by Kikuyu smiths,"mauuto?, mi-, n. (1), (N.K.) one of the pair of bellows used by Kikuyu smiths; cf. muura. n. (vir); maguta ma ~, semsem oil, [Sw. uTO]"
9915,"sewing cotton, thread.","sewing cotton, thread","uuthi, mauuthi, n. (11), sewing cotton, thread. [Sw."
9916,descr. of sound of alarni-cry,of sound of alarni-cry,"uu-u, ideo. (uU), descr. of sound of alarni-cry; see mbu. aw U"
9917,"I1. used as interrog. p., who?, whom?",used as p,"ũ, part. (U), I1. used as interrog. p., who?, whom?; ati nĩwe ~?, who did you say you were?; nũ ~?, by whom was he beaten?; wonire- ~?, whom did you see?; cf. naũ. 2. with v. omitted [ũ]; Kamau? ~?, do you know K.? Whom are you asking? 3. after a neg.; mũndũ o na ~, there is not a single soul; ~ kana ~, nobody."
9918,,so then!,"N, interj. (U), so then!"
9919,used enclitically as suffix to n. cl. 3 only,cl,"-ũ, part. (U), used enclitically as suffix to n. cl. 3 only; nĩ mũthemba-~?, of what kind is it?; see -rĩkũ."
9920,2nd pers.,2nd pers,"ũ-!, subj. p. (U), 2nd pers. s. you (s.)."
9921,"1. p.c. cl. 1, 3, and I4","3, and I4","ũ-?, conc. prefix (U), 1. p.c. cl. 1, 3, and I4; n.c. cl. 14. 2. rel. p. cl. 1 only, written conjunctively. ~to? Qũ o? ũ, he who does not know this knows that."
9923,"1. peel off, remove skin (of potatoes, bananas, fruits, &c.)","peel off, remove skin (of potatoes, bananas, fruits, &c","ũa [ũwa], v.t. (1), 1. peel off, remove skin (of potatoes, bananas, fruits, &c.); shell beans. 2. strip plants for stringmaking. 3. remove fat of skinned animal from meat, &c. rũa!, refl, peel off easily, shed one’s skin; (the animal) is so fat that the fat peels off by itself; ta njoka, you look as fresh as a snake that has just shed its skin. ũoa, dim. ũoanga, diff. dim. Nũoana, rec. dim. ũoanegithia, d. caus. dim. keep on assisting to peel, strip, off; have some more peeled off. noangira, app. dim. ũoangirira, inten. dim.; ~ mboco, keep on shelling beans out of the pods. ũanga, diff. rec. diff. ũangithia, d. caus. diff. nangira, app. diff. inten. diff. peel off, shell, potatoes, beans, &c., in addition to what has already been shelled or peeled off. nana, rec.; ~ ciero, punish (small boys, &c.) by pinching their thighs. ũania, caus. rec. shell (beans, &c.), peel off, haphazardly. ũanĩra, app. rec. shell (beans, &c.), peel off, at the same time, for, ũaniria, caus. app. rec. shell, peel, together. ũithia, d. caus. assist to shell, peel, strip, off; have shelled, peeled off, stripped. fũithia, refl. d. caus. pretend to be shelling beans, stripping plants for fibre, peeling potatoes, when one should be, or is, doing sth. else. ũĩka, st. pot. ũĩkĩra, app. st. pot.; mboco ici itingĩ~ haha, it is impossible to shell these beans here (the container being too small or there being no time). ũira, app. shell, strip, rind, peel, for, at, into. ũĩrira, inten. shell additional beans, &c.; peel some more."
9924,"take shelter (esp. from rain or sun), sit in the shade (on a hot day). diff. fũanira, assoc. take shelter together. iũanĩria, caus. assoc. caus. ĩũithia, d. caus. pretend to be taking shelter","(11), take shelter (esp. from rain or sun), sit in the shade (on a hot day)","tũa? [iyũwa], v.i. (refi.) (11), take shelter (esp. from rain or sun), sit in the shade (on a hot day). diff. fũanira, assoc. take shelter together. iũanĩria, caus. assoc. caus. ĩũithia, d. caus. pretend to be taking shelter; take shelter when one should not do so. fũĩka, st. pot.; rina rĩting~ nĩ kchigha, it is so hot that it is impossible to shelter oneself. ĩũĩra, app. take shelter at."
9925,,REFERENCE,"riũa, see riũa."
9926,"I. a peeling-off, shaving, strip, shred of meat, 2. fatty tissue between lean meat and outer skin","a peeling-off, shaving, strip, shred of meat, 2","riũa [riũwa], moa [mooa], n. cl. 5/6 (u1), I. a peeling-off, shaving, strip, shred of meat, 2. fatty tissue between lean meat and outer skin; maguta ma ~, pure liquid fat obtained from the fatty tissues immediately underneath the outer layer of skin; romanĩrĩra ta gĩthita na ~, follow one another closely (like tail and fat); cf. ngai, mũroti, [ũa]"
9928,"1. hide, skin of animal","hide, skin of animal","rũa!, n. (11), 1. hide, skin of animal; cf. ndarũa, 2. skin of human body; cf. grkonde. gĩcũa, i-; icũa, ma-, n. large hide. karũa, tũ-, n. membrane."
9929,,REFERENCE,"Ũcũ!, see"
9930,,REFERENCE,"Ũcũ?, see inũ,"
9931,,REFERENCE,"ŨcŨkũ, see cOkũ. see cawe."
9934,"aggressive, truculent person",provocation,"mũgiti, ogiti [oogiti]; kĩũgiti, ci-; n. (1), aggressive, truculent person; cf. kĩnyogondi, mcthoga. n. cl. 11 only, provocation; aggressiveness, pugnacity; cf. ruurugi, rũnyũi. [ũgita]"
9938,,REFERENCE,"-ŨGgigu, see under -Ũgi."
9939,,REFERENCE,"-ŨGgogi, see under -ũpgĩ. see under guo."
9940,"1. soft meat at back of cow’s hind leg. 2. very special greeting between men who have shared this cut. ci-, n. (1), freak, monster",soft meat at back of cow’s hind leg,"mũgũ, mi-, n. (1v), 1. soft meat at back of cow’s hind leg. 2. very special greeting between men who have shared this cut. ci-, n. (1), freak, monster; any being or animal with a congenital deformity or abnormality (formerly used of albinos}; see kĩrema, mwĩtũkio. maũgũ, n. abnormality, disability, defect, blemish (of congenital type); ndarĩ na ~, he is industrious; cf. wathe, rema,"
9941,Nandi rubber vine. 2. any stout liana or strong supple creeper used for ropes and for making hurdle doors for huts,"climbing shrub (Landolphia ugandensis), Nandi rubber vine","mũgũ, mi-, n. (1v) 1. climbing shrub (Landolphia ugandensis), Nandi rubber vine. 2. any stout liana or strong supple creeper used for ropes and for making hurdle doors for huts; cf. mokamwe."
9942,"ri. be unbalanced, wander about, be unsettled",ri,"ũgũga [ũgũga] v.i. (1), ri. be unbalanced, wander about, be unsettled; cf. bũgũga, ũrũra, Ũngũtũka. 2. be beyond measure; athĩnĩte akoggga, he is very poor. Ũgogũga, dim. ganga, diff. Ũgggania, caus. rec. Ũgũganira, assoc. caus. assoc, caus, cause, to wander, to be unbalanced mentally. ũgũgithia, d. caus. app. wander about at, become unbalanced in."
9943,(usu.,"one who wanders, an unstable person","mũgũgi [mũgũgi], ogũgi [o0gũgij, n. (1), (usu. of mental disturbance) one who wanders, an unstable person."
9944,"1. (of knives, &c.) be sharp, keen. 2. (of people) be clever, wise, educated, sensible, intelligent","(of knives, &c","ũhbiga, v.i. (11), 1. (of knives, &c.) be sharp, keen. 2. (of people) be clever, wise, educated, sensible, intelligent; be crafty, cunning. ũhohiga, dim. ũhohigia, caus. dim. make sharper, wiser. caus. app. dim. make sharper, for, at. Ũhiganga, diff. ũhĩgangia, caus. diff. app. diff. ũhĩgania, caus. rec. make clever. ũhĩganira, assoc. become clever, wise together; (of boys, &c.) grow together. inten. assoc. I1. swindle one another. 2. act clever (when sb. is doing the same to you). ũhiganiria, caus. assoc, gia, caus. make sharp; make clever’ educate, fũhĩgia, refl. caus. make oneself clever, pretend to be cleverer than one really is. ũhĩgithia, d. caus. make clever, sharp. ũhigika, st. pot. ũhigira, app. be sharp at, for; grow up at, for. ĩũhĩgira, refl. app. be clever for ones own advantage. ũhigirira, inten. 1. be able to foresee what sb.’s reactions will be so that you catch him unawares; use one’s wits, be wily, crafty, over; be wise about, clever at."
9945,exclamation of sympathy or dismay.,lubricating oil,"ũi / ũi-ũi / woi-wũi, interj. (U), exclamation of sympathy or dismay. meceũici, see maũigo, see Ũigo. maũiguano, see Ũiguano. maũikariri, see Ũikariri. maũikaro, see maũingihu, see ŨGingihu. ũiro, ~, n. (1), lubricating oil. [E. o1L] maGũiru, see Ũiru."
9946,"know, recognize, assume, suppose","(11?), know, recognize, assume, suppose","ũi [ũwi], v.t. (defective) (11?), know, recognize, assume, suppose; ngũ~ ati, I thought that. refl. have a good opinion of oneself. [ũiyo], pass. be known. Ũyana, rec., yaine, we know each other; mwĩyaine na n kuo?, whom do you know there? ũĩkana, rec. st. pot. become known; nĩkũikaine, it is common knowledge; nĩoĩkatine, he is a famous person."
9947,river.,"river. karũi, tũ-, n, stream, brook, runnel","rũi, njni / (N.K.) ndũi / njii, n. (111), river. karũi, tũ-, n, stream, brook, runnel. gacii, tũ-, n. 2nd dim. rivulet, brook."
9948,"1. come, come to (a place). 2. ~i muone!, (indicating wonder, surprise, disappointment, &c.) come and see (ye spirits)! ũkoka / okoka, dim. come near, nearer, closer. okokia, caus. dim. bring closer, nearer. ũkanga, diff. hurry up. Ũkania, caus. rec. ~ na, come with. ũkanira, assoc. come together, at the same time, with. Ũkanĩria, caus. assoc. bring sth, in addition to what you are bringing. ũkanirĩra, inten. rec, rise up against each other. Ũkanirĩria, caus. inten. rec. (of people sitting or lying on others) get. off one another., ũkia, caus. tumefy, tumesce, erect (penis). ũkika, st, pot.","come, come to (a place)","Ũka, v.i. (11), 1. come, come to (a place). 2. ~i muone!, (indicating wonder, surprise, disappointment, &c.) come and see (ye spirits)! ũkoka / okoka, dim. come near, nearer, closer. okokia, caus. dim. bring closer, nearer. ũkanga, diff. hurry up. Ũkania, caus. rec. ~ na, come with. ũkanira, assoc. come together, at the same time, with. Ũkanĩria, caus. assoc. bring sth, in addition to what you are bringing. ũkanirĩra, inten. rec, rise up against each other. Ũkanirĩria, caus. inten. rec. (of people sitting or lying on others) get. off one another., ũkia, caus. tumefy, tumesce, erect (penis). ũkika, st, pot.; nĩ mbura, it will not be! possible to come because of the rain. ũkira!, app. come, through, eross, a place; pass by a place in coming."
9949,,REFERENCE,"gĩũkabi, see under mũkabi."
9950,,REFERENCE,"maũkamini, see Ũkamini.,"
9951,,"newly come, recently arrived, new","mũkano, n. cl. 3 only (111); -a ~, newly come, recently arrived, new; ũhoro wa ~, a new development; kĩndũ kĩa ~, a novelty, a recent importation. [ũka]"
9952,"one who has recently come to a place, a new arrival, a stranger.","one who has recently come to a place, a new arrival, a stranger. [ũka]","mũki, oki [ooki], n. (11), one who has recently come to a place, a new arrival, a stranger. [ũka]"
9953,,REFERENCE,"mũkia, see muokia."
9955,"1. honey, honey mead","separate lots of honey, &c","ũki, maũki, n. (u1), 1. honey, honey mead; beer; cf. moruru, mũ- 2. (cl. 6) separate lots of honey, &c."
9956,"1. stand, get, rise, up","stand, get, rise, up","OŨkira?, v.i. (11), 1. stand, get, rise, up; rise, wake, up in the morning; ~ toro, rise up from sleep. 2. prosper, get rich, succeed in business. ũkokira, dim. rise up a little bit; (of a hill, &c.) be fairly high. ũkiranga, diff. rise quickly. ũkĩrangia, caus. diff. wake sb. quickly; assist to raise upright quickly. ũkĩrania, caus. wake sb. up, assist (sb., sth.) that has fallen down to stand up; ~ mũagũnda, make conditions so hard that the owner of a garden cannot continue cultivating it, evict sb. ũkiranĩra, assoc. rise, wake, up at the same time as. Ũkiranĩria, caus. assoc. cause (people, animals) to rise, wake, up at the same time., Ũkiria, caus. make rise, wake up; ~ mbũri, send goats to graze after the midday rest. rũkiria, refl. caus. (of a sick person, children, &c.) raise oneself up into a sitting position. ũkirithia, d, caus. ũkirĩka, st. pot. ũkirĩra, app. get up at, for; rise up against, attack (people). ũkĩriria, caus. app. I1. rise up from (one’s seat), give (a seat) to sb. else (to sit on); give up (one’s chairmanship) to sb. else. 2. be on a higher level, be elevated. 3. raise up a little. fũnkĩrĩria, refl. caus. app. regain mastery in wrestling, get rid of a weight which has trapped one; raise oneself up."
9957,"time, route, process, of coming.","time, route, process, of coming","rĩũkĩro, mokĩro [mookĩro], n. (111), time, route, process, of coming. [ũka]"
9959,,REFERENCE,"maũkuui, see"
9960,,worthless fellow,"mũkũ, mi-, n. (1v), worthless fellow,"
9961,"1. sentence, verdict, judgement. 2. insubordination","sentence, verdict, judgement","ũknũmũ, n. cl. o (11), 1. sentence, verdict, judgement. 2. insubordination; punishment, correction. [Sw. HUKUMU]"
9962,"1. dry, harden, up","dry, harden, up","ŨCma, v.i. (11), 1. dry, harden, up; be become, hard, stiff, dry; wither, be parched; (of meat, sugar-cane, yams, &c.) be tough, 2. ~ ngoro, be difficult, unyielding, brave, hard-hearted; ~ ihu, be a dare-devil. ~ tha, give up, despair; ~ za indo, be hard to get anything out of; kĩkooto noko kioma, the truth (justice) is the criterion; nĩ kii kĩoma?, what is the nn woma?, who did not flinch (during circumcision operation)}?; gĩtaranio nĩkio kĩoma, worry is the worst thing for anybody. ũmoma, dim. ũmomia, caus. dim. harden a little more. d, caus. dim. thiria, app. d. caus., dim. ũmomirĩria, caus. app. dim. hang on a second, keep going; have patience, courage. Ũmanga, dif. ũmangia, caus. dif. refl. caus. diff. ũmangĩra, app. dif. ũmangiria, caus. app. diff. Ũmangiriria, inten. caus. diff. refl. inten. caus. diff. ũmana, rec. mania, caus. rec. Ũmanira, assoc. 1. dry at the same time as. 2. (of litigants, opponents, &c.) refuse to yield to each other. ũmaniria, caus. assoc. make many things dry together. rũmaniria, refl. caus. assoc. pluck up one’s courage and do one’s duty. ũmanirira, inten. rec, r. become drawn together into a hard, dry mass, shrivel up, become stiffened up together; solidify on, become a solid whole. 2. (of plants, crops, &c.) be stunted, dry up; (of people} be wizened, barren; (of liquids, e.g. gruel) stick to, solidify. ũmaniriria, caus. inten. rec. encourage, one another, each other. rũmaniriria, refi. caus. inten. rec, pull oneself together, brace oneself. ũrnanithĩriria, d. caus. inten. rec. be irresponsible, insensible, to. mia, caus. make stiff, stiffen, harden; let dry, make dry. refl. caus. 1. (of plants, &c.) dry up without apparent reason. 2. harden oneself; put on a bold face, pluck up one’s courage, stand firm, make a stand against, put up a resistance. Ũmithia, d, caus. have sth. dried up, assist in drying sth. up. Ũmithiria, app. d. caus. have sth. dried up, for, at. st. pot. ũmira, app. 1. be hard, severe, to, upon; be unyielding, inflexible towards; withstand, resist. 2. (of things) be too hard for. 3. become inured, resigned to; ~ tha, despair (of finding sth. one has been looking for). inten. harden, dry (out) on to; stiffen, harden up; (of flowers) get hard and stay on a tree without shedding petals. ũmirĩria, caus. inten. 1. harden oneself to, bear pain, meet danger; be brave, cheer up, take heart, endure. 2. be bold, forward, presumptuous, insolent, audacious. 3. encourage, instil courage into; stiffen, give firmness to. riria, refi. caus. inten. cheer oneself up, take courage, take a firm grip, stand firm, persevere, endure."
9965,(used only in compounds),desperation,"mũma, oma [ooma], n. (11), (used only in compounds): r. ~-iku | ~ rhu, hard-hearted, pitiless person. 2. ~-tha, callous person. n. cl. 14 only, (in compounds) 1. ~-iku, desperation. 2. ~-tka, callousness. [ma]"
9968,1.,"firm, stiff, bard","-ũmirĩru, a. (1v), 1. firm, stiff, bard. 2. brave, courageous. 3. forward, bold, audacious, insolent. [ũma]"
9969,"thenge ~, he-goat with fore-quarters of lighter shade than rest of body (light red compared with brown or dark red).","thenge ~, he-goat with fore-quarters of lighter shade than rest of body (light red compared with brown or dark red)","kiũmũ ci-, n. (11), thenge ~, he-goat with fore-quarters of lighter shade than rest of body (light red compared with brown or dark red)."
9970,"n. (11), 1. hardness, dryness","hardness, dryness","ũmũ, (maeũgũmũ), n. (11), 1. hardness, dryness; endurance, valour; mũthaiga wa ~, medicine to stimulate bravery; gĩtĩ kĩa ~, a seat of the mighty; cf. -ũmũ. 2. hard stodge eaten on first day of preparation for circumcision; cf. ngima. 3. uncooked gruel blown from mouth over women by male neophytes at circumcision. 4. dun-colour. [ũma]"
9971,"1. hard, stiff. 2. dry, parched, withered","hard, stiff","-ũmũ, a. (11), 1. hard, stiff. 2. dry, parched, withered; (of meat) tough. 3. (coll.) mũnda big-wig, brasshat."
9972,,REFERENCE,"kiũmũcii, see under mũcii."
9973,,REFERENCE,"ũmũthi, see GmMŨAthi."
