GLOBAL_INDEX,WORD,NOUN_CLASS,PAGE-COLUMN,FULL_ENTRY,FREQUENCY
3550,urugănda,11|10,P99-C2,"urugănda, in-, 1lj10, (cfr -gandik-), forge, atelier du forgeron: carcasse de branches en arceau dont le sommet seul est recouvert d'herbes pour protéger du soleil et de la plwie, tout en laissant passer l'air. Ayo mabuye bakayajāana mu-ngănda iwăbo, et ils rapportent ces pierres chez eux dans leurs forges. || Habitation sommaire des Pygmoides, || Victimes d'un accident; tas de cadavres. Kwiha ingăànda, décimer, tuer, massacrer. Fig. Ishavu ryamaze ingănda, tout le monde est en colère. Prov. 7, 144, 1590.",1
3584,kugângāra,,P100-C2,"kugângāra, -ye, (cfr -gang-) se tenir ferme sur ses bases (comme une vache qui urine). j| Grogner (chien). || Par ext. Hurler, pleurer à grands cris, Prov. 1736.",1
3630,kugánwakaraa,,P102-C1,"kugánwakaraa, -ye, (ctr -gâánwa 1), être anobii Yivre à la manière des princes.",1
3711,ingaruka,9|6,P104-C1,"ingaruka, ama-, 9f6, (cfr -garuk-), retour. Syn. mtāhūka. Mu magaruka, au retour, à la rentrée.",1
3888,ingêngeterezi,9|10,P109-C1,"ingêngeterezi, 91G, (cfr -géngeterez-), douceur, bonté, aménité; tolérance. Syn. ubwîtonzi.",1
3901,umugenza,3|4,P109-C2,"umugenza, imi, 3lll4, (cfr -genz-), dos. Syr. umugôngo. || Tibia. Syn. umurúndi.",1
3909,mugenzabo,1a|2a,P110-C1,"mugenzabo, bagenzăbo, laæl2a, (cfr -genzi 1), leur ami, leurs amis; leur conjoint.",1
3921,urutangirabagenzi,14|10,P110-C1,"urutangirabagenzi, in-, 14110, (-tângīr- empêcher de partir, -genzi 2 amis), surnom de la libellule. Syn. umunigwe.",1
3929,ikinyamugera,7|8,P110-C2,"ikinyamugera, ibi-, 7(8, (cfe -gera 3), asticot; (vers de Cahors ?, filaire ?), larve qui s'introduit sous a peau de Phomme ou ge certains animaux. « Ikinyamugera bakirashe umwampi mu gahănga kiti uyu mumurīzo nakúranye, un asticot percé d'une flèche au front s'exclama : ceci m'est une queue avec laguelle f'ai grandi.» Il faut se résigner avec fatalisme devant les malheurs de l'existence.",1
3942,umugeragezo,3|4,P111-C1,"umugeragezo, imi, 3M4, (cfr -geragez-), essai, tentative. Syn, umugêngeterezo.",1
3955,bugerésere,1a,P111-C2,"bugerésere, Ia, (cfr -gerégere 9), comme une gazelle. Yiruka bugerégere, i bondit comme une gazelle.",1
3971,urugerero,9|10,P112-C1,"urugerero, in-, 9010, (cfr -gerer-), marché, place délimitée destinée au troc. Syn. urwămbu, akaguriro.",1
4019,ngezaho,9a|1a,P113-C2,"ngezaho, 9a|1a, (cfr -gez-), (néol.), point de SUSPEnsSİOn.",1
4097,magirírane,6a,P115-C2,"magirírane, 6q, (cfr -girirauit-) réciprocité, réciproquement, Syn. magirânire. Prov, 15.",1
4119,kugīshanya,,P116-C1,"kugīshanya, -nije, (cfr -gīsh-), faire passer lun pour lautre. Kugishanya imbu, travailler à tour de rôle, se relayer, Syn. gukûranwa. 116",1
4120,kugishisha,,P116-C2,"kugishisha, -shije, (cfr -gish-) transhumer, mener les vaches dans une contrée riche en pâturages, i| Fam. kugishīsha umugóre, avoir une femme replète. bien portante.",1
4215,igma,5|6,P119-C1,"igma, ama- 5j, tubercule, racine. ry'iteke, bulbe de colocase, || Fig. nabot, nain, de petite taille. Kurēha n'igòma, être court, de petite taille. Syn. Kugúfira.",1
